"","user_id","text","lat","lon","lang","cluster"
"19",60888395," #TourEiffel #Paris #France #Patriote #PrayForParis @ Tour Eiffel https://t.co/o1iX8KVKnh",48.8590256,2.29811714," en",2
"20",60888395," #TourEiffel #Friends #Paris #Patriote #PrayForParis #ForeverYoung #France @ Tour Eiffel https://t.co/go4O7F7SKM",48.8590256,2.29811714," en",2
"21",60888395," #TourEiffel #Together #France #PrayForParis #Paris #Patriote @ Tour Eiffel https://t.co/bx3ZXhK0LJ",48.8590256,2.29811714," en",2
"22",1177554198," #toureiffel #igersfrance #igersparis #manege #eiffeltower #prayforparis #peace #monparis\\\\u2026 https://t.co/dJLqYwBBvr",48.85800323,2.2939882," en",2
"23",1177554198," #Prayers4Paris #prayforparis #igersparis #iloveparis #parisjetaime #paris #eiffeltower #toureiffel\\\\u2026 https://t.co/r9hJwIdCyP",48.85800323,2.2939882," en",2
"31",1177554198," #toureiffel #igersfrance #igersparis #manege #eiffeltower #prayforparis #peace #monparis\\\\u2026 https://t.co/dJLqYwBBvr",48.85800323,2.2939882," en",2
"32",1177554198," #Prayers4Paris #prayforparis #igersparis #iloveparis #parisjetaime #paris #eiffeltower #toureiffel\\\\u2026 https://t.co/r9hJwIdCyP",48.85800323,2.2939882," en",2
"163",186535909," Thinking #Paris lovers bridge #Seine, #ParisIsLife 2012 @ Seine River Paris https://t.co/FI01jFFvme",48.86209806,2.29441357," en",2
"202",15255661," The view room. #ParisIsMagical #LibertyinParis @ The Eiffel Tower / La Tour Eiffel https://t.co/mb5uQ4jC0V",48.85800323,2.2939882," en",2
"213",15255661," Had great time walking Les Catacombs Kensey Lipstreuer. #LibertyinParis #ParisIsMagical\\\\u2026 https://t.co/qzpN7CgG1e",48.85800323,2.2939882," en",2
"214",18218483," Paris today. #paris #love #snap #prayforparis #noire #mobilephotography @ Paris, France https://t.co/Dv9TOjlbaq",48.857667,2.310399," en",2
"219",186535909," #pedestrians #Paris #ParisIsLife 2012 @ Paris, France https://t.co/sS2qjct29G",48.86209806,2.29441357," en",2
"220",15255661," I obviously having fun! #LibertyInParis #ParisIsMagical #Paris @ Catacombs Paris https://t.co/vL9PFsmp2U",48.85800323,2.2939882," en",2
"221",15255661," The beautiful Eiffel Tower! #LibertyInParis #Paris #ParisIsMagical @ The Eiffel Tower / La Tour Eiffel https://t.co/LUQQHQbfaU",48.85800323,2.2939882," en",2
"222",15255661," #ParisIsMagical #Paris #LibertyInParis @ The Eiffel Tower / La Tour Eiffel https://t.co/CJi3w53Wrf",48.85800323,2.2939882," en",2
"237",104647913," No #PrayForParis it's time #enjoyParis #Parisestunefete",48.8794445,2.2986242," en",2
"251",15255661," Sitting red light river. #LibertyInParis #Paris #ParisIsMagical @ The Eiffel Tower /\\\\u2026 https://t.co/QSnMtHjr4b",48.85800323,2.2939882," en",2
"254",15255661," Steak tartar. Delicious. #ParisIsMagical #Paris #LibertyInParis @ Bistro Saint Dominique https://t.co/bjwz8CP7zO",48.85800323,2.2939882," en",2
"255",15255661," Escargot, salmon tartar avocado something. #LibertyInParis #Paris #ParisIsMagical\\\\u2026 https://t.co/tUccvULUoF",48.85800323,2.2939882," en",2
"258",186535909," #NotreDameCathederal #NotreDame #Paris #ParisIsLife 2012 @ Cath\\\\u00e9drale Notre-Dame Paris https://t.co/JtqyCgqBG0",48.86209806,2.29441357," en",2
"320",15255661," Another meal, satisfied belly. #LibertyInParis #ParisIsMagical #Paris #EatMyWayThruParis @ Le\\\\u2026 https://t.co/I2ZEoQ4pIr",48.85800323,2.2939882," en",2
"326",18218483," Paris today. #prayforparis #friday #blackfriday @ La Tour-Maubourg https://t.co/geScjtJ4UN",48.857667,2.310399," en",2
"333",186535909," Somewhere #Paris 2012, #Parisien #ParisIsLife @ Paris, France https://t.co/TZnfbC3ROG",48.86209806,2.29441357," en",2
"343",18218483," Paris #nature #prayforparis #feuille #friday #blackfriday @ Paris, France https://t.co/C68AB7OGzO",48.857667,2.310399," en",2
"374",18218483," Paris today. #prayforparis #love #mobilephotography #paris @ Paris, France https://t.co/WKO1RXUx1J",48.857667,2.310399," en",2
"428",892131031," The Memorial victims #ParisAttacks \\\\u270c\\\\ud83c\\\\udffb\\\\ufe0f\\\\ud83c\\\\uddeb\\\\ud83c\\\\uddf7 #Paris #PrayForTheWorld #UnitedWeStand @\\\\u2026 https://t.co/JIgbLjTglF",48.8590256,2.29811714," en",2
"459",186535909," From #Paris series #Parisien #ParisIsLife #subway #train 2012 @ Paris, France https://t.co/sdN4ga6BaL",48.86209806,2.29441357," en",2
"490",18218483," Cotidiano parisiense. #love #mobilephotography #paris #prayforparis @ Paris, France https://t.co/XUkTkxtlQT",48.857667,2.310399," en",2
"510",18218483," Bonjour Paris. #love #paris #mobilephotography #snapshot #prayforparis @ Paris, France https://t.co/DwM2rBxkm4",48.857667,2.310399," en",2
