"","V1"
" #PrayForParis #PrayForPeace #paris #france #seine #river #seineriver #pray #peace @ Paris, France https://t.co/ygjKiCVqOE",1
" On Monday 16, #PrayForSyria Trending Topic France 13 hours: https://t.co/ma9W48kQHt #trndnl",3
" #prayforparis #societypuppets #trenddrivensociety #trendinghashtags #trendingprofile @ Strasbourg \\\\u2013\\\\u2026 https://t.co/03eLBE4xDM",1
" #prayforparis #societypuppets #trenddrivensociety #trendinghashtags #trendingprofile @ Strasbourg \\\\u2013\\\\u2026 https://t.co/jwR1DROtdJ",3
" #prayforparis #societypuppets #trenddrivensociety #trendinghashtags #trendingprofile @ Strasbourg \\\\u2013\\\\u2026 https://t.co/Qi4GdJ5jCH",3
" FRN : Paris attacks: What know far: Three teams terrorists staged coordinated attacks locations\\\\u2026 https://t.co/TDNZBqKmxu",1
" FRN : Paris attacks: French President calls 3-month extension state emergency: PARIS \\\\u2013 France wants to\\\\u2026 https://t.co/J9AclhgUyV",1
" FRN : Paris attacks: France effective suspension Schengen open borders: The radical step follows the\\\\u2026 https://t.co/QmUNm7eGUs",1
" FRN : Paris attack probe turns Belgium's 'Islamist pit stop' Molenbeek: French police suspect the\\\\u2026 https://t.co/P5pNePFll7",2
" FRN : Paris attacks: search intensifies terror suspects linked Isis plot \\\\u2013 live: A drawing French artist\\\\u2026 https://t.co/rf1DcCMWvb",1
" FRN : Paris attacks: police raid 150 addresses hunt suspects: The raids came darkness, dawn.\\\\u2026 https://t.co/AWkBlY6ECU",1
" FRN : Paris attacks: What happened Stade France?: The explosions occurred outside Stade de\\\\u2026 https://t.co/jl9Hl7aiyE",2
" FRN : France names suspected mastermind Paris attacks: PARIS -- France identified 27-year-old Belgian once\\\\u2026 https://t.co/CLul0FXNoF",2
" #PrayForParis #TB #Throwback #2004 #Paris #France #DuncanLovesPhotography #Photographer\\\\u2026 https://t.co/yTDNepP8IG",3
" FRN : After Paris Attacks, Darker Mood Toward Islam Emerges France: PARIS \\\\u2014 November January. That\\\\u2026 https://t.co/T87io7exuE",1
" The hashtag #PrayForSyria took 3rd place Top20 Paris's Trends Monday 16: https://t.co/aGaBPMOuBG #trndnl",3
" FRN : France war destroy ISIS, Hollande vows: PARIS\\\\u2014President Fran\\\\u00e7ois Hollande France called on\\\\u2026 https://t.co/qelgjMf9W7",3
" FRN : Hollande calls US Russia join France 'fight terrorist army single coalition': PARIS\\\\u2026 https://t.co/2eaABzbIlb",3
" FRN : New raids France warns possible chemical attacks: PARIS -- With France reeling week's\\\\u2026 https://t.co/vY85BBk63e",1
