"","x"
"pari",38
"prayforpari",14
"eiffel",11
"franc",11
"libertyinpari",9
"parisismag",7
"tour",7
"parisislif",5
"toureiffel",5
"tower",5
"eiffeltow",4
"igerspari",4
"love",4
"mobilephotographi",4
"patriot",3
"today",3
"blackfriday",2
"catacomb",2
"friday",2
"httpstcodjlqywbbvr",2
"httpstcorhjwidcyp",2
"igersfr",2
"ilovepari",2
"maneg",2
"monparisu",2
"parisien",2
"parisismagicalu",2
"parisjetaim",2
"peac",2
"prayerspari",2
"river",2
"sein",2
"tartar",2
"time",2
"toureiffelu",2
"anoth",1
"avocado",1
"beauti",1
"belli",1
"bistro",1
"bonjour",1
"bridg",1
"cathuedral",1
"cotidiano",1
"dame",1
"delici",1
"dominiqu",1
"eatmywaythrupari",1
"enjoypari",1
"escargot",1
"feuill",1
"foreveryoung",1
"friend",1
"fun",1
"great",1
"httpstcobjwzcpzo",1
"httpstcobxzxhklj",1
"httpstcocabogzo",1
"httpstcocjiwwrf",1
"httpstcodvtojlbaq",1
"httpstcodwmrbxkm",1
"httpstcofijffvm",1
"httpstcogescjtjun",1
"httpstcogoofskm",1
"httpstcoizeoqpir",1
"httpstcojigbljtglf",1
"httpstcojtqycgqbg",1
"httpstcoluqqhqbfau",1
"httpstcombuqjcv",1
"httpstcooixkvknh",1
"httpstcoqsnmthjrb",1
"httpstcoqzpncgg",1
"httpstcosdngab",1
"httpstcossqjctg",1
"httpstcotuccvuluof",1
"httpstcotznfbcrog",1
"httpstcovlpfsmpu",1
"httpstcowkorxuxj",1
"httpstcoxuktkxtlqt",1
"kensey",1
"les",1
"leu",1
"light",1
"lipstreuer",1
"lover",1
"maubourg",1
"meal",1
"memori",1
"natur",1
"noir",1
"notr",1
"notredam",1
"notredamecatheder",1
"obvious",1
"parisattack",1
"parisestunefet",1
"parisiens",1
"pedestrian",1
"prayfortheworld",1
"red",1
"room",1
"saint",1
"salmon",1
"satisfi",1
"seri",1
"sit",1
"snap",1
"snapshot",1
"someth",1
"somewher",1
"steak",1
"subway",1
"think",1
"togeth",1
"train",1
"ucudcudffbufefudcuddebudcuddf",1
"unitedwestand",1
"victim",1
"view",1
"walk",1
